,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16084568053219503,0.0,0.0,0.0,0.0,0.0,0.0,0.41513032169355774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2630569190940329,0.0,0.16096707868021431,0.0,0.0,0.0,0.0,0.0
ABBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4057570825617838,0.0,0.0,0.3149396535521682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793032638860481,0.0,0.0,0.0,0.0,0.0,0.0
AMZN,0.0364225978515903,0.035270034813070596,0.028088347096967142,0.023484840845964583,0.16453970063640608,0.009344234921518544,0.017364462554408874,0.14763737263201615,0.025479050820326296,0.015022432606756205,0.018155669230526424,0.008605863394006716,0.022644777369960654,0.009627380420272542,0.010026103950173853,0.057075197420930736,0.00570462780998981,0.011617146477179643,0.022663175788113853,0.019268079285647947,0.046075415027983325,0.0109531672113549,0.009961472590699776,0.010818385437523627,0.03599700526449914,0.03765750812505522,0.032428392552017925,0.02168134693663788,0.020870461094871458,0.037405058996394513,0.0,0.0,0.04811069083713521
BAC,0.041679347976940964,0.06172995413683887,0.014512219011734977,0.06562023782828134,0.06370961884002792,0.01964749502755917,0.016792725589473,0.09386962469538562,0.05765101227474863,0.011088598843534829,0.005216157283302087,0.002021696158100627,0.00941003886819796,0.03361207363212094,0.05509945234647384,0.08710369109869222,0.014290196692701675,0.024055376030904345,0.012738816240182619,0.03204293109641049,0.008137976786183632,0.0180563990245099,0.014921908546944286,0.018916573433762216,0.00996077990732889,0.030089695972500965,0.05595407140410644,0.027210558831107554,0.03459556943153173,0.015365272660024491,0.0,0.0,0.04489993033038785
GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422721454021897,0.0,0.0,0.0,0.35772785459781037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,0.0,0.11091601379987623,0.0,0.050300967112630865,0.03913903521805047,0.0,0.0,0.0702980880864641,0.07203254204350719,0.0,0.0,0.0,0.002018311552923032,0.0,0.018895391220405844,0.266063067147297,0.0,0.003541032298521794,0.0,0.117746302639476,0.052444156883699834,0.0,0.0,0.0,0.028085768663118554,0.004579797018449921,0.012884221085576276,0.0,0.1130926971588967,0.01066094025938079,0.0,0.0,0.027301667811725508
JPM,0.03512072949191087,0.015582771544757052,0.039592862631959165,0.06976249318989713,0.04941316939842142,0.00041554240271221164,0.0009705074735189714,0.09708733524497076,0.05170399896896116,0.018323634802638662,0.0,0.004926994254238111,0.0,0.019905142983135973,0.03169426807644844,0.0547994071124847,0.00534601304752045,1.989496760920459e-05,0.04203008247714733,0.04418389234181968,0.048026434439073375,0.021996818345545198,0.011400358443584788,0.007569785774466571,0.007335704226897085,0.05618600565042899,0.10832969517185448,0.012015006496232128,0.041305704793729615,0.026977252153639622,0.0,0.0,0.07797849409439674
LLY,0.04959103234795827,0.02951556388830577,0.02389612792853857,0.007050340816534271,0.11187576106091256,0.0026671635013483645,0.03226425507356922,0.07926444176969319,0.09431539144435254,0.0008240657822278904,2.4084279167715857e-06,8.357705872773587e-09,0.0005219535295174655,0.015165068427538073,0.020739476562813577,0.2513798733633192,0.003164442705907232,0.0214104021159949,2.1567812341584964e-07,0.047377168805048185,0.022582305912455858,0.0029501386088747073,0.001784621464565098,0.034046982739869495,0.03802455783087478,0.03575630536274986,0.006852462516104284,0.037960159444014804,0.016157999019383446,0.006760930955208951,0.0,0.0,0.006098374558573359
MA,0.004613291024384225,0.03526136000183486,0.02518427292835399,0.042777008525394206,0.15933138192392537,0.012216378675990094,0.008060559433709551,0.12324302310770108,0.03225833981384456,0.0005184714698259734,0.0020336753962914493,0.014174777444401503,0.00010893964398277835,0.01957959355833989,0.01552505173321345,0.1267812268606812,0.00351247405991476,0.022805453986354456,2.076400152391048e-06,0.027601768991234444,0.000663108797212002,0.008833209788919704,0.005599755350361585,0.009053329677682994,0.008717540525543965,0.010516491754928553,0.0858295680680709,0.0077166266267525594,0.035488990579501035,0.052947130193322915,0.0,0.0,0.09904512365817351
MRK,0.018369184257901048,0.030708476409801524,0.017734652648581775,0.057423704275049656,0.08976398354507135,0.00957602013598433,0.0125726011647552,0.10653943108937229,0.03301829827915243,0.017827496243689282,0.0010597571939060945,0.020334793129402562,0.021575630998225025,0.027305057270265245,0.016394466649602948,0.12469243476417506,0.01722792980886485,0.008418852380924957,0.062291702187688223,0.019196807609107136,0.02261372526071109,0.020718301117110968,0.01479331684180251,0.037566912690699936,0.011782425924617769,0.03860047230972281,0.04667427757055267,0.019328687626980166,0.03868478577345384,0.007257663960212518,0.0,0.0,0.029948150882614644
MSFT,0.03303758507361483,0.0,0.0,0.0,0.023885882566256175,0.0,0.0,0.0,0.030256458668744525,0.0,0.0,0.0,0.0,0.0,0.0,0.33317218899459783,0.0,0.0,0.0,0.0,0.32768209227381323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25196579242297346,0.0,0.0,0.0
NVDA,0.0,0.0,0.0,0.08287021137443147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227126290983355,0.0,0.0,0.0,0.0,0.2873640779188968,0.0,0.0,0.0,0.0,0.10705308160833628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNH,0.015120910399856344,0.06770322213303609,0.02528996632238118,0.00974547064533833,0.08436379968215728,0.0,0.0,0.11029557851463458,0.06065805333663387,0.0,0.0,0.009561615629638332,0.0,0.0,0.0,0.44008613503866756,0.0,0.06755461061080954,0.010257952429897833,0.0,0.0,0.0,0.0,0.0,0.0,0.010862802110933116,0.08849988314601594,0.0,0.0,0.0,0.0,0.0,0.0
V,0.01673558084739267,0.03494825993061256,0.021460251386293813,0.06205889826677001,0.12993717528291307,0.029302474600165773,0.01722035290342009,0.1379958188747792,0.04283809981703564,0.004909344453076114,0.009428270284362755,0.005693075085374658,0.012580353334882792,0.017451629618924065,0.018652711309288177,0.0666783847792826,0.02064380601827607,0.02665030851936607,0.011593611419376235,0.027155088749470396,0.026011073951341328,0.016686286469157662,0.012543733319717932,0.014093933051099712,0.00845324492058709,0.040377451479663,0.0435675141529937,0.044544894112297145,0.05096108620060372,0.015909816857519382,0.0,0.0,0.012917470003956403
WFC,0.0,0.0,0.036739743077844444,0.0,0.17280397846696705,0.0,0.0,0.0,0.1391331299120132,0.0,0.0,0.0,0.0,0.0,0.02983590296536449,0.4823502908517964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13913695472601453,0.0,0.0,0.0
